V1;V2;V3;V4;V5;V6;V7
1;6949_5#48;S102;NA;ERS049906;92.6;Harris;S102_N01_C01
2;6949_5#55;S106;NA;ERS049913;83;Harris;S106_N01_C01
3;6949_5#43;S130;NA;ERS049901;89.7;Harris;S130_N01_C01
4;6949_5#61;S21;NA;ERS049919;79.4;Harris;S021_N01_C01
5;6949_5#60;S24;NA;ERS049918;106.7;Harris;S024_N01_C01
6;6949_5#54;S25;NA;ERS049912;89.5;Harris;S025_N01_C01
7;6949_5#52;S26;NA;ERS049910;94;Harris;S026_N01_C01
8;6949_5#56;S2;NA;ERS049914;82.1;Harris;S002_N01_C01
9;6949_5#50;S38;NA;ERS049908;81.9;Harris;S038_N01_C01
10;6949_5#62;S39;NA;ERS049920;77.9;Harris;S039_N01_C01
11;6949_5#47;S40;NA;ERS049905;72;Harris;S040_N01_C01
12;6949_5#58;S42;NA;ERS049916;104.6;Harris;S042_N01_C01
13;6949_5#46;S71;NA;ERS049904;98.2;Harris;S071_N01_C01
14;6949_5#57;S78;NA;ERS049915;81.9;Harris;S078_N01_C01
15;6949_5#49;S7;NA;ERS049907;95.7;Harris;S007_N01_C01
16;6949_5#59;S81;NA;ERS049917;84.1;Harris;S081_N01_C01
17;6949_5#42;S85;NA;ERS049900;83.8;Harris;S085_N01_C01
18;6949_5#44;S87;NA;ERS049902;74.9;Harris;S087_N01_C01
19;6949_5#45;S93;NA;ERS049903;77.5;Harris;S093_N01_C01
20;6949_5#53;S97;NA;ERS049911;85.2;Harris;S097_N01_C01
21;5227_2#4;T102T2;NA;ERS008042;54;Tong;T102_T02_C01
22;12378_8#41;T104T1;ST239;ERS255321;76.58;current;T104_T01_C01
23;5227_2#3;T105N1;NA;ERS008041;67.7;Tong;T105_N01_C01
24;5227_2#2;T107U2;NA;ERS008040;58;Tong;T107_U02_C01
25;4925_8#11;T10N11;NA;ERS008003;172.5;Tong;T010_N11_C01
26;10456_6#21;T10N11_C3;ST239;ERS255208;110;current;T010_N11_C02
27;12162_7#19;T10N11_C1;ST239;ERS255206;123.52;current;T010_N11_C03
28;12162_7#20;T10N11_C2;ST239;ERS255207;126.16;current;T010_N11_C04
29;12162_7#22;T10N11_C4;ST239;ERS255209;129.8;current;T010_N11_C05
30;12162_7#23;T10N11_C5;ST239;ERS255210;127.92;current;T010_N11_C06
31;12162_7#24;T10N11_C6;ST239;ERS255211;122.56;current;T010_N11_C07
32;12162_7#25;T10N11_C7;ST239;ERS255212;130.16;current;T010_N11_C08
33;12162_7#26;T10N11_C8;ST239;ERS255213;125.84;current;T010_N11_C09
34;12378_8#43;T126A12;ST239;ERS255323;127.16;current;T126_A12_C01
35;12378_8#44;T126A15;ST239;ERS255324;124.2;current;T126_A15_C01
36;12378_8#45;T126A17;ST239;ERS255325;130;current;T126_A17_C01
37;12378_8#42;T126A3;ST239;ERS255322;127.32;current;T126_A03_C01
38;12378_8#46;T126C1;ST239;ERS255326;124.24;current;T126_C01_C01
39;12378_8#53;T126C10;ST239;ERS255333;115.2;current;T126_C10_C01
40;12378_8#54;T126C11;ST239;ERS255334;113.32;current;T126_C11_C01
